participant.label,participant.id_in_session,participant.code,player.id_in_group,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,group.id_in_subsession,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_happened,subsession.round_number,age,education,gender,lsas_p,lsas_s,dass_a,dass_d,dass_s,ssms_cd,ssms_ia,srp_sf_ipm,srp_sf_ca,srp_sf_els,srp_sf_ct,ami_es,ami_sm,ami_ba,ssms,dass,lsas,srp_sf,ami,aq_10,trial_to_reversal,bet_type,bet
607d6e86f96c147cf2b3223c,22,0r57elef,1,left,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1A.bmp,1,option1B.bmp,2,0.25,0.75,0.75,0.25,NA,NA,1,0,NA,NA,1,1,0,NA,NA,0.38,0.46,0.31,0.4,0.52,20,-60,380,440,500,0,0,-1,0,0,0,0,1,2,2,2,1,2,2,2,1,0,0,0,1,0,0,0,1,-1,-1,-1,0,0,0,0,0,0,0,0,2,33,0.9,1,0,0.7,0.3,option1A.bmp,option1B.bmp,1,33,33,7,2,25,19,2,14,6,3,1,8,10,13,7,3,9,6,4,22,44,39,18,2,0,Bet 2,3
5e3c759575109a055e99b38a,23,uro33w1j,2,left,left,NA,NA,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,1,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.5,0.46,0.45,0.35,0.3,-40,-40,240,220,260,0,0,-1,0,0,0,0,2,1,2,2,2,2,2,2,0,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3,33,0.77,1,0,0.7,0.3,option1A.bmp,option1B.bmp,1,33,43,8,1,13,12,0,2,8,0,0,7,7,9,7,2,10,4,0,10,25,31,16,2,0,Bet 1,2
5e3c759575109a055e99b38a,23,uro33w1j,2,left,left,NA,NA,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,1,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.5,0.46,0.45,0.35,0.3,-40,-40,240,220,260,0,0,-1,0,0,0,0,2,1,2,2,2,2,2,2,0,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3,33,0.77,1,0,0.7,0.3,option1A.bmp,option1B.bmp,1,33,43,8,1,13,12,0,2,8,0,0,7,7,9,7,2,10,4,0,10,25,31,16,2,0,Bet 2,2
67862f57b5350ebed10fac1f,24,v5uzjzeq,3,right,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.75,0.25,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.38,0.5,0.33,0.57,0.39,-20,-20,260,260,280,0,0,-1,0,0,0,0,1,1,2,2,2,1,2,2,1,1,0,0,0,1,0,0,-1,1,-1,-1,0,0,0,0,0,0,0,0,2,33,0.9,1,0,0.7,0.3,option1A.bmp,option1B.bmp,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Bet 1,1
67862f57b5350ebed10fac1f,24,v5uzjzeq,3,right,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.75,0.25,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.38,0.5,0.33,0.57,0.39,-20,-20,260,260,280,0,0,-1,0,0,0,0,1,1,2,2,2,1,2,2,1,1,0,0,0,1,0,0,-1,1,-1,-1,0,0,0,0,0,0,0,0,2,33,0.9,1,0,0.7,0.3,option1A.bmp,option1B.bmp,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Bet 2,1
622bb4f79c52ad04bb91e752,25,r0epnh5n,4,right,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,1,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.6,1,0.58,0.8,0.79,-60,-60,-40,60,80,0,0,-1,0,0,0,0,2,2,1,2,2,2,2,2,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3,33,0.77,1,0,0.7,0.3,option1A.bmp,option1B.bmp,1,33,59,4,2,13,9,2,0,8,0,1,7,8,8,7,6,12,1,1,10,22,31,19,0,0,Bet 1,3
622bb4f79c52ad04bb91e752,25,r0epnh5n,4,right,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,1,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.6,1,0.58,0.8,0.79,-60,-60,-40,60,80,0,0,-1,0,0,0,0,2,2,1,2,2,2,2,2,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3,33,0.77,1,0,0.7,0.3,option1A.bmp,option1B.bmp,1,33,59,4,2,13,9,2,0,8,0,1,7,8,8,7,6,12,1,1,10,22,31,19,0,0,Bet 2,3
66095082185479f7db42d782,26,c8le880w,4,right,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.75,0.25,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.47,0.93,0.61,0.27,0.27,-40,-40,-160,-60,-20,0,0,-1,0,0,0,0,1,1,2,2,2,1,2,2,1,1,0,0,0,1,0,0,-1,1,-1,-1,0,0,0,0,0,0,0,0,2,33,0.9,1,0,0.7,0.3,option1A.bmp,option1B.bmp,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Bet 1,2
66095082185479f7db42d782,26,c8le880w,4,right,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.75,0.25,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.47,0.93,0.61,0.27,0.27,-40,-40,-160,-60,-20,0,0,-1,0,0,0,0,1,1,2,2,2,1,2,2,1,1,0,0,0,1,0,0,-1,1,-1,-1,0,0,0,0,0,0,0,0,2,33,0.9,1,0,0.7,0.3,option1A.bmp,option1B.bmp,1,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Bet 2,2
610d4df86c4abc6b5ced6fa0,27,fe87ewee,3,left,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1A.bmp,1,option1B.bmp,2,0,1,1,0,NA,NA,1,0,NA,NA,1,1,0,NA,NA,0.77,1.7,1.37,1.31,0.72,60,-40,-80,200,-420,0,0,-1,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3,33,0.77,1,0,0.7,0.3,option1A.bmp,option1B.bmp,1,33,NA,8,2,14,11,8,6,14,5,5,10,13,16,13,11,12,10,10,28,25,53,33,2,0,Bet 1,3
610d4df86c4abc6b5ced6fa0,27,fe87ewee,3,left,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1A.bmp,1,option1B.bmp,2,0,1,1,0,NA,NA,1,0,NA,NA,1,1,0,NA,NA,0.77,1.7,1.37,1.31,0.72,60,-40,-80,200,-420,0,0,-1,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3,33,0.77,1,0,0.7,0.3,option1A.bmp,option1B.bmp,1,33,NA,8,2,14,11,8,6,14,5,5,10,13,16,13,11,12,10,10,28,25,53,33,2,0,Bet 2,2
5e3024d69366c7000c4025ff,28,vmj6j5sf,1,right,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,1,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.65,0.45,1,0.41,1.12,-60,-60,160,-320,40,0,0,-1,0,0,0,0,2,1,2,2,2,2,2,2,0,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3,33,0.77,1,0,0.7,0.3,option1A.bmp,option1B.bmp,1,33,42,4,2,39,24,8,16,24,11,4,17,16,10,9,2,18,20,15,48,63,53,40,6,0,Bet 1,3
5e3024d69366c7000c4025ff,28,vmj6j5sf,1,right,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,1,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.65,0.45,1,0.41,1.12,-60,-60,160,-320,40,0,0,-1,0,0,0,0,2,1,2,2,2,2,2,2,0,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3,33,0.77,1,0,0.7,0.3,option1A.bmp,option1B.bmp,1,33,42,4,2,39,24,8,16,24,11,4,17,16,10,9,2,18,20,15,48,63,53,40,6,0,Bet 2,3
66cdd069637121e241f7a40a,31,ilvocnr8,5,right,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,1,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.38,0.81,1.33,0.04,0.55,-40,-40,0,-160,-60,0,0,-1,0,0,0,0,2,2,1,2,2,2,2,2,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3,33,0.77,1,0,0.7,0.3,option1A.bmp,option1B.bmp,1,33,27,8,2,27,30,12,20,26,10,5,7,8,12,8,6,11,12,15,58,57,36,29,4,0,Bet 1,2
66cdd069637121e241f7a40a,31,ilvocnr8,5,right,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.75,0.25,1,0,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.38,0.81,1.33,0.04,0.55,-40,-40,0,-160,-60,0,0,-1,0,0,0,0,2,2,1,2,2,2,2,2,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,3,33,0.77,1,0,0.7,0.3,option1A.bmp,option1B.bmp,1,33,27,8,2,27,30,12,20,26,10,5,7,8,12,8,6,11,12,15,58,57,36,29,4,0,Bet 2,2
59b69d4fb269ef0001801733,1,djfcv4qm,5,right,left,NA,NA,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,0.5,0.5,0.5,0.5,NA,NA,0,1,22,25,1,0,1,15,18,1.36,0.4,1.75,0.38,0.26,-20,60,-160,160,-200,0,0,1,0,0,0,0,2,1,2,1,2,1,2,1,0,1,0,1,0,1,0,1,-1,1,-1,1,0,0,0,0,0,0,0,0,2,34,2.04,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,38,8,1,34,36,4,18,16,6,4,29,25,27,12,10,14,8,10,38,70,97,32,5,1,Bet 1,1
59b69d4fb269ef0001801733,1,djfcv4qm,5,right,left,NA,NA,option1A.bmp,option1B.bmp,1,option1B.bmp,2,option1A.bmp,1,0.5,0.5,0.5,0.5,NA,NA,0,1,22,25,1,0,1,15,18,1.36,0.4,1.75,0.38,0.26,-20,60,-160,160,-200,0,0,1,0,0,0,0,2,1,2,1,2,1,2,1,0,1,0,1,0,1,0,1,-1,1,-1,1,0,0,0,0,0,0,0,0,2,34,2.04,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,38,8,1,34,36,4,18,16,6,4,29,25,27,12,10,14,8,10,38,70,97,32,5,1,Bet 2,3
672a3488a8bffdf9dac2b72f,2,gyubbbth,1,right,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.25,0.75,NA,NA,0,0,21,19,0,0,0,20,16,1.39,0.67,0.43,1.83,0.55,-40,-60,220,-20,140,0,0,-1,0,0,0,0,1,2,1,2,1,2,1,1,1,0,1,0,1,0,1,1,1,-1,1,1,0,0,0,0,0,0,0,0,2,34,2.04,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,26,5,2,6,5,2,2,4,1,3,14,18,18,8,8,9,12,4,8,11,59,29,2,1,Bet 1,2
672a3488a8bffdf9dac2b72f,2,gyubbbth,1,right,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.25,0.75,NA,NA,0,0,21,19,0,0,0,20,16,1.39,0.67,0.43,1.83,0.55,-40,-60,220,-20,140,0,0,-1,0,0,0,0,1,2,1,2,1,2,1,1,1,0,1,0,1,0,1,1,1,-1,1,1,0,0,0,0,0,0,0,0,2,34,2.04,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,26,5,2,6,5,2,2,4,1,3,14,18,18,8,8,9,12,4,8,11,59,29,2,1,Bet 2,3
587b7ab8c192390001d60136,3,gunf45xl,4,left,left,NA,NA,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.25,0.75,0.5,0.5,NA,NA,1,1,20,9,0,1,1,21,16,1.53,0.98,1.06,0.38,0.34,40,40,360,-120,220,0,0,1,0,0,0,0,2,1,2,2,2,1,2,1,0,1,0,0,0,1,0,1,-1,1,-1,1,0,0,0,0,0,0,0,0,2,34,2.04,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,60,7,2,19,20,0,0,4,1,6,7,11,15,7,3,16,3,7,4,39,41,22,2,1,Bet 1,2
587b7ab8c192390001d60136,3,gunf45xl,4,left,left,NA,NA,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.25,0.75,0.5,0.5,NA,NA,1,1,20,9,0,1,1,21,16,1.53,0.98,1.06,0.38,0.34,40,40,360,-120,220,0,0,1,0,0,0,0,2,1,2,2,2,1,2,1,0,1,0,0,0,1,0,1,-1,1,-1,1,0,0,0,0,0,0,0,0,2,34,2.04,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,60,7,2,19,20,0,0,4,1,6,7,11,15,7,3,16,3,7,4,39,41,22,2,1,Bet 2,2
5e9b60ab511e7a0650994050,4,8g9qhxee,3,left,left,NA,NA,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.25,0.75,NA,NA,0,0,25,26,0,0,0,22,21,1.41,0.62,1.04,1.04,0.43,-60,-60,500,480,580,0,0,-1,0,0,0,0,2,1,1,2,2,1,1,1,0,1,1,0,0,1,1,1,-1,1,1,1,0,0,0,0,0,0,0,0,2,34,2.04,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,45,4,1,25,24,0,0,0,0,0,10,10,7,7,4,8,9,0,0,49,35,21,1,1,Bet 1,3
5e9b60ab511e7a0650994050,4,8g9qhxee,3,left,left,NA,NA,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.25,0.75,NA,NA,0,0,25,26,0,0,0,22,21,1.41,0.62,1.04,1.04,0.43,-60,-60,500,480,580,0,0,-1,0,0,0,0,2,1,1,2,2,1,1,1,0,1,1,0,0,1,1,1,-1,1,1,1,0,0,0,0,0,0,0,0,2,34,2.04,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,45,4,1,25,24,0,0,0,0,0,10,10,7,7,4,8,9,0,0,49,35,21,1,1,Bet 2,3
665ad886225977530cd6579c,5,myjr2c4x,2,left,left,NA,NA,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.25,0.75,0.5,0.5,NA,NA,1,1,26,27,0,1,1,21,20,2.04,2.46,1.23,0.61,0.29,60,60,320,280,280,0,0,1,0,0,0,0,2,2,1,2,2,2,1,1,0,0,1,0,0,0,1,1,-1,-1,1,1,0,0,0,0,0,0,0,0,2,34,2.04,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,32,4,2,0,2,0,12,6,1,6,13,22,14,7,10,14,7,7,18,2,57,31,2,1,Bet 1,3
665ad886225977530cd6579c,5,myjr2c4x,2,left,left,NA,NA,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.25,0.75,0.5,0.5,NA,NA,1,1,26,27,0,1,1,21,20,2.04,2.46,1.23,0.61,0.29,60,60,320,280,280,0,0,1,0,0,0,0,2,2,1,2,2,2,1,1,0,0,1,0,0,0,1,1,-1,-1,1,1,0,0,0,0,0,0,0,0,2,34,2.04,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,32,4,2,0,2,0,12,6,1,6,13,22,14,7,10,14,7,7,18,2,57,31,2,1,Bet 2,3
607d6e86f96c147cf2b3223c,22,0r57elef,1,right,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.75,0.25,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.51,0.43,1.08,1.06,0.57,-60,-60,320,380,440,0,0,-1,0,0,0,0,1,2,2,1,2,2,2,1,1,0,0,1,0,0,0,1,-1,-1,-1,1,0,0,0,0,0,0,1,0,2,34,1.01,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,33,7,2,25,19,2,14,6,3,1,8,10,13,7,3,9,6,4,22,44,39,18,2,1,Bet 1,3
607d6e86f96c147cf2b3223c,22,0r57elef,1,right,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.75,0.25,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.51,0.43,1.08,1.06,0.57,-60,-60,320,380,440,0,0,-1,0,0,0,0,1,2,2,1,2,2,2,1,1,0,0,1,0,0,0,1,-1,-1,-1,1,0,0,0,0,0,0,1,0,2,34,1.01,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,33,7,2,25,19,2,14,6,3,1,8,10,13,7,3,9,6,4,22,44,39,18,2,1,Bet 2,3
5e3c759575109a055e99b38a,23,uro33w1j,2,right,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.25,0.75,0.25,0.75,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.46,1.16,0.59,0.38,0.32,-40,-40,200,180,220,0,0,-1,0,0,0,0,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,1,1,0,0,0,0,0,0,0,0,3,34,0.84,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,43,8,1,13,12,0,2,8,0,0,7,7,9,7,2,10,4,0,10,25,31,16,2,1,Bet 1,2
5e3c759575109a055e99b38a,23,uro33w1j,2,right,right,NA,NA,option1A.bmp,option1B.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.25,0.75,0.25,0.75,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.46,1.16,0.59,0.38,0.32,-40,-40,200,180,220,0,0,-1,0,0,0,0,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,1,1,0,0,0,0,0,0,0,0,3,34,0.84,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,43,8,1,13,12,0,2,8,0,0,7,7,9,7,2,10,4,0,10,25,31,16,2,1,Bet 2,2
67862f57b5350ebed10fac1f,24,v5uzjzeq,3,left,left,NA,NA,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.75,0.25,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.45,0.76,0.32,0.93,0.44,-20,-20,240,240,260,0,0,-1,0,0,0,0,2,1,2,1,2,2,2,1,0,1,0,1,0,0,0,1,-1,-1,-1,1,0,0,0,0,0,0,1,0,2,34,1.01,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Bet 1,1
67862f57b5350ebed10fac1f,24,v5uzjzeq,3,left,left,NA,NA,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.75,0.25,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.45,0.76,0.32,0.93,0.44,-20,-20,240,240,260,0,0,-1,0,0,0,0,2,1,2,1,2,2,2,1,0,1,0,1,0,0,0,1,-1,-1,-1,1,0,0,0,0,0,0,1,0,2,34,1.01,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Bet 2,1
622bb4f79c52ad04bb91e752,25,r0epnh5n,4,left,left,NA,NA,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.5,0.5,NA,NA,1,1,NA,NA,0,1,1,NA,NA,0.4,0.69,0.49,0.71,0.4,20,20,-20,80,100,0,0,1,0,0,0,0,1,2,2,1,1,2,2,1,1,0,0,1,1,0,0,1,1,-1,-1,1,0,0,0,0,0,0,0,0,3,34,0.84,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,59,4,2,13,9,2,0,8,0,1,7,8,8,7,6,12,1,1,10,22,31,19,0,1,Bet 1,1
622bb4f79c52ad04bb91e752,25,r0epnh5n,4,left,left,NA,NA,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.5,0.5,NA,NA,1,1,NA,NA,0,1,1,NA,NA,0.4,0.69,0.49,0.71,0.4,20,20,-20,80,100,0,0,1,0,0,0,0,1,2,2,1,1,2,2,1,1,0,0,1,1,0,0,1,1,-1,-1,1,0,0,0,0,0,0,0,0,3,34,0.84,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,59,4,2,13,9,2,0,8,0,1,7,8,8,7,6,12,1,1,10,22,31,19,0,1,Bet 2,1
66095082185479f7db42d782,26,c8le880w,4,left,NA,NA,left,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.75,0.25,NA,option1B_tr.bmp,0,0,NA,NA,0,0,0,NA,NA,0.64,0.92,0.88,3,1.02,-20,-40,-180,-100,-60,0,0,-1,0,0,1,0,2,1,2,1,2,2,2,1,0,1,0,1,0,0,0,1,-1,-1,-1,1,0,0,0,0,0,0,0,0,2,34,1.01,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Bet 1,1
66095082185479f7db42d782,26,c8le880w,4,left,NA,NA,left,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.5,0.5,0.75,0.25,NA,option1B_tr.bmp,0,0,NA,NA,0,0,0,NA,NA,0.64,0.92,0.88,3,1.02,-20,-40,-180,-100,-60,0,0,-1,0,0,1,0,2,1,2,1,2,2,2,1,0,1,0,1,0,0,0,1,-1,-1,-1,1,0,0,0,0,0,0,0,0,2,34,1.01,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Bet 2,2
610d4df86c4abc6b5ced6fa0,27,fe87ewee,3,left,left,NA,NA,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.25,0.75,0.25,0.75,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.84,1.11,1.62,1.46,0.91,-60,-60,-140,140,-480,0,0,-1,0,0,0,0,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,1,1,0,0,0,0,0,0,0,0,3,34,0.84,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,NA,8,2,14,11,8,6,14,5,5,10,13,16,13,11,12,10,10,28,25,53,33,2,1,Bet 1,3
610d4df86c4abc6b5ced6fa0,27,fe87ewee,3,left,left,NA,NA,option1B.bmp,option1A.bmp,-1,option1B.bmp,2,option1B.bmp,2,0.25,0.75,0.25,0.75,NA,NA,0,0,NA,NA,0,0,0,NA,NA,0.84,1.11,1.62,1.46,0.91,-60,-60,-140,140,-480,0,0,-1,0,0,0,0,1,2,1,1,1,2,1,1,1,0,1,1,1,0,1,1,1,-1,1,1,0,0,0,0,0,0,0,0,3,34,0.84,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,NA,8,2,14,11,8,6,14,5,5,10,13,16,13,11,12,10,10,28,25,53,33,2,1,Bet 2,3
5e3024d69366c7000c4025ff,28,vmj6j5sf,1,left,left,NA,NA,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.5,0.5,NA,NA,1,1,NA,NA,0,1,1,NA,NA,0.72,0.81,0.42,0.51,0.54,40,40,200,-280,80,0,0,1,0,0,0,0,2,2,1,1,2,2,1,1,0,0,1,1,0,0,1,1,-1,-1,1,1,0,0,0,0,0,0,0,0,3,34,0.84,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,42,4,2,39,24,8,16,24,11,4,17,16,10,9,2,18,20,15,48,63,53,40,6,1,Bet 1,2
5e3024d69366c7000c4025ff,28,vmj6j5sf,1,left,left,NA,NA,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1A.bmp,1,0.5,0.5,0.5,0.5,NA,NA,1,1,NA,NA,0,1,1,NA,NA,0.72,0.81,0.42,0.51,0.54,40,40,200,-280,80,0,0,1,0,0,0,0,2,2,1,1,2,2,1,1,0,0,1,1,0,0,1,1,-1,-1,1,1,0,0,0,0,0,0,0,0,3,34,0.84,1,0,0.7,0.3,option1A.bmp,option1B.bmp,0,34,42,4,2,39,24,8,16,24,11,4,17,16,10,9,2,18,20,15,48,63,53,40,6,1,Bet 2,2
